epoch,train_image_loss,test_image_loss,train_image_f1_score,test_image_f1_score
1,0.027014005929231644,0.024660078808665276,0.2718730642819402,0.21398525354685455
2,0.027596523985266685,0.015120151452720165,0.4442806085957282,0.43997614461329293
3,0.019278742372989655,0.013953961431980133,0.48125671203985776,0.4658857976602588
4,0.014728532172739506,0.013743390329182148,0.4930207592570558,0.4768449841206545
5,0.015349144116044044,0.013101987540721893,0.5013752086378033,0.48459781371521665
6,0.014801041223108768,0.013065730221569538,0.5110808484756728,0.4940348195758369
7,0.014716190285980701,0.012668182142078876,0.516736241048469,0.49908885302573175
8,0.01356738805770874,0.012208144180476665,0.5258515125180161,0.5082640781685029
9,0.014130797237157822,0.012566785328090191,0.5340530799609567,0.509227538340583
10,0.017785079777240753,0.012526812963187695,0.5390338107260574,0.5065545907917489
11,0.014089890755712986,0.012522153556346893,0.5342781127737283,0.5104871128192502
12,0.01185109093785286,0.011091957800090313,0.544701375770931,0.5141126175253657
13,0.012975453399121761,0.011819381266832352,0.5518931725511548,0.5185602292657397
14,0.01313556544482708,0.012249854393303394,0.5592989871519247,0.5217845521833882
15,0.010892985388636589,0.012108269147574902,0.5673674387043584,0.5220500345211802
16,0.011037474498152733,0.011249656789004803,0.5755491309100665,0.5348661370484452
17,0.011905880644917488,0.011057214811444283,0.5822080915539224,0.5365575796838237
18,0.012545755133032799,0.011481545865535736,0.5908755335462205,0.5386762930860598
19,0.01113060861825943,0.01160290464758873,0.5973926577352084,0.5421539423561071
20,0.012290393933653831,0.0105462446808815,0.604697924542978,0.5374763680750919
21,0.010256675072014332,0.010511405766010284,0.6104770043443437,0.539960771039832
22,0.010183622129261494,0.011563560925424099,0.6230980544767568,0.5452090672664863
23,0.010022588074207306,0.012761840596795082,0.6298913073268164,0.5407797577655248
24,0.010331287048757076,0.010691527277231216,0.6347726110472018,0.542209043021068
25,0.009969223290681839,0.012138468213379383,0.6352259184888008,0.5447470576688295
26,0.007739433087408543,0.011270817369222641,0.6432152112409151,0.5543794672330763
27,0.010764451697468758,0.01113466639071703,0.6535014687966756,0.5446700629957782
28,0.010599224828183651,0.010463137179613113,0.6567573312475148,0.5497593023472854
29,0.0090293288230896,0.010949171148240566,0.667313927159599,0.5549775086552093
30,0.00780218280851841,0.01238685566931963,0.6722969520375669,0.5577043645356234
